Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,Quantity (g)
Artichokes,High in Fiber,1 medium,Mediterranean Region,60,4.2,6.9,8.9,9416,182
Cherries,Contains Melatonin,"1 cup, with pits",Asia Minor,97,1.6,3.2,10.8,3747,150
Mango,High in Vitamin A,"1 cup, sliced",South Asia,99,1.4,2.6,60.1,1300,150
Pistachios,Good Source of Vitamin B6,1 oz (49 kernels),Central Asia,159,5.7,3.0,0.7,7675,28
Kiwi,High in Vitamin C,1 medium,China,42,0.8,2.1,64.0,1210,182
Oranges,Rich in Vitamin C,1 medium,Southeast Asia,62,1.2,3.1,69.7,1819,182
Chickpeas,High in Protein and Fiber,"1 cup, cooked",Middle East,269,14.5,12.5,2.1,1283,250
Papaya,Contains Papain Enzyme,"1 cup, cubed",Central America,62,0.9,2.5,168.0,1532,165
Cabbage,"Low in Calories, High in Vitamin K","1 cup, chopped",Europe,22,1.1,2.2,36.6,508,150
Brazil Nuts,High in Selenium,1 oz (6-8 nuts),South America,186,4.1,2.1,0.2,1419,28
Cantaloupe,High in Vitamin A,"1 cup, cubed",Middle East/Africa,54,1.3,1.4,59.4,270,165
Edamame,Good Source of Plant-Based Protein,"1 cup, shelled",East Asia,188,18.4,8.0,6.1,1510,140
Apples,Rich in Quercetin,1 medium,Central Asia,95,0.5,4.4,8.4,3049,182
Brown Rice,Good Source of Manganese,"1 cup, cooked",Asia,216,5.0,3.5,0.0,1523,250
Figs,High in Calcium,1 medium,Western Asia,37,0.4,1.4,1.2,521,182
Turnips,"Low in Calories, High in Vitamin C","1 cup, cubed",Europe/West Asia,36,1.1,2.3,27.3,575,165
Hemp Seeds,Good Balance of Omega-3 and Omega-6,3 tbsp,Central Asia,166,9.5,1.2,0.1,6000,42
Butternut Squash,High in Vitamin A,"1 cup, cubed",North America,63,1.4,2.8,31.0,1144,165
Red Grapes,Contains Resveratrol,1 cup,Mediterranean Region,104,1.1,1.4,3.2,1789,240
Pineapple,Contains Bromelain,"1 cup, chunks",South America,82,0.9,2.3,78.9,385,180
Collard Greens,High in Vitamin K,"1 cup, chopped",Ancient Greece,11,1.1,1.4,12.7,1067,150
Sunflower Seeds,High in Vitamin E,1 oz,North America,164,5.8,2.4,0.7,6372,28
Raspberries,High in Ellagic Acid,1 cup,Northern Europe/Asia,64,1.5,8.0,32.2,4882,240
Clams,High in Vitamin B12,3 oz,Worldwide,126,22.0,0.0,22.1,7980,85
Grapefruit,"Low in Calories, High in Vitamin C",1/2 medium,Caribbean,52,0.9,2.0,88.1,1548,91
Kidney Beans,High in Molybdenum,"1 cup, cooked",Central America,225,15.3,11.3,4.1,8606,250
Lemons,High in Vitamin C,1 medium,Southeast Asia,17,0.6,1.6,30.7,1225,182
Arugula,Good Source of Nitrates,2 cups,Mediterranean Region,10,1.2,0.8,5.4,1904,480
Onions,Contains Quercetin,"1 cup, chopped",Central Asia,64,1.8,2.9,11.8,913,150
Zucchini,"Low in Calories, High in Vitamin C","1 cup, sliced",Central America,19,1.4,1.1,22.2,180,150
Mackerel,Rich in Omega-3 Fatty Acids,"3 oz, cooked",Worldwide,231,20.8,0.0,0.0,393,85
Acai Berries,High in Anthocyanins,"100g, pulp",South America,70,1.0,2.0,0.0,15405,100
Cucumber,"Low in Calories, High in Water Content","1 cup, sliced",India,16,0.7,0.5,2.9,140,150
Peanuts,Good Source of Biotin,1 oz,South America,161,7.3,2.4,0.0,1393,28
Eggplant,"Low in Calories, High in Fiber","1 cup, cubed",India,20,0.8,2.5,1.8,980,165
Parsley,High in Vitamin K,"1/4 cup, chopped",Mediterranean Region,4,0.3,0.4,13.3,1301,37
Cayenne Pepper,Contains Capsaicin,"1 tsp, ground",South America,6,0.3,0.6,1.6,50314,5
Watermelon,High in Lycopene,"1 cup, diced",Africa,46,0.9,0.6,12.3,182,150
Radishes,"Low in Calories, High in Vitamin C","1 cup, sliced",Southeast Asia,19,0.8,1.9,17.2,387,150
Bok Choy,High in Vitamin A and C,"1 cup, shredded",China,9,1.1,1.0,45.2,1511,85
Tuna,High in Protein and Omega-3,"3 oz, canned in water",Worldwide,99,22.0,0.0,0.0,415,85
Crimini Mushrooms,Good Source of Selenium,"1 cup, sliced",Europe/North America,19,2.9,0.7,2.1,885,150
Cranberries,High in Proanthocyanidins,"1 cup, whole",North America,46,0.4,3.6,13.3,9584,240
Tahini,Good Source of Calcium,1 tbsp,Middle East,89,2.6,1.4,0.0,276,14
Cinnamon,May Help Lower Blood Sugar,"1 tsp, ground",Sri Lanka,6,0.1,1.4,0.1,131420,5
Miso,Rich in Probiotics,1 tbsp,Japan,34,2.2,0.8,0.1,1125,14
Mustard Greens,High in Vitamin K,"1 cup, chopped",India,15,1.6,1.8,39.3,3024,150
Celery,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,16,0.7,1.6,3.1,670,150
Endive,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,8,0.5,1.6,2.1,1052,150
Kohlrabi,Good Source of Vitamin C,"1 cup, sliced",Northern Europe,36,2.3,4.9,83.7,944,150
Natto,High in Vitamin K2,1/4 cup,Japan,100,8.4,2.8,13.0,6680,60
Sauerkraut,Rich in Probiotics,1/2 cup,China,13,0.7,2.9,14.7,705,120
Tempeh,High in Protein and Probiotics,3 oz,Indonesia,162,17.0,3.5,0.0,1800,85
Swiss Chard,High in Vitamins A and K,"1 cup, chopped",Mediterranean Region,7,0.6,0.6,10.8,1770,150
Nutritional Yeast,Good Source of B Vitamins,1 tbsp,Worldwide,20,3.0,1.0,0.0,790,14
Pomelo,High in Vitamin C,"1 cup, sections",Southeast Asia,72,1.4,2.4,115.3,1548,150
Radicchio,"Low in Calories, High in Vitamin K","1 cup, shredded",Italy,9,0.6,0.4,2.6,1016,85
Jicama,Good Source of Vitamin C,"1 cup, sliced",Mexico,46,0.9,6.4,20.2,406,150
Wakame Seaweed,High in Fucoxanthin,"1 cup, raw",Japan,5,0.3,0.4,3.0,2115,240
Dragon Fruit,Good Source of Antioxidants,"1 cup, cubed",Central/South America,136,2.9,7.0,9.0,2551,165
